Date,Vendor,Vendor Location,Spend Category,"""Spend Amount $""",Index,Spend Amount
8/12/2017 12:00:00 AM,Fill It,Texas,Buy- Products,Spend Amount $,1,43.416577798
8/12/2017 12:00:00 AM,Gulf and Western Industries,New York,Buy- Products,Spend Amount $,2,29.838614711
8/12/2017 12:00:00 AM,Hetrick Systems,Kansas,Gas,Spend Amount $,3,239.746048265
8/12/2017 12:00:00 AM,Hetrick Systems,Kansas,Licenses,Spend Amount $,4,2946.965303568
8/12/2017 12:00:00 AM,Hetrick Systems,Kansas,Wages,Spend Amount $,5,62.969187425
8/12/2017 12:00:00 AM,Homebound,Texas,Gas,Spend Amount $,6,871.066026577
8/12/2017 12:00:00 AM,Homebound,Texas,Infrastructure,Spend Amount $,7,356.463180031
8/12/2017 12:00:00 AM,Homebound,Texas,People Expenses,Spend Amount $,8,42.026697531
8/12/2017 12:00:00 AM,Homebound,Texas,Wages,Spend Amount $,9,285.895699608
8/12/2017 12:00:00 AM,Icon,Texas,Licenses,Spend Amount $,10,184.222080385
8/12/2017 12:00:00 AM,Icon,Texas,People Expenses,Spend Amount $,11,3.667588295
8/12/2017 12:00:00 AM,Qwest,Minnesota,Buy- Products,Spend Amount $,12,59.851298327
8/12/2017 12:00:00 AM,R.J. Matter & Associates,Nevada,Marketing,Spend Amount $,13,299.074507713
8/12/2017 12:00:00 AM,Ra Co Amo,New York,Licenses,Spend Amount $,14,50.627568656
8/12/2017 12:00:00 AM,RC,Nevada,Buy- Products,Spend Amount $,15,8.231144066
8/12/2017 12:00:00 AM,Renegade info Crew,Montana,Wages,Spend Amount $,16,572.846442255
8/12/2017 12:00:00 AM,ValiCert,New York,Infrastructure,Spend Amount $,17,36.105848043
8/12/2017 12:00:00 AM,Xilinx,Texas,Consulting,Spend Amount $,18,383.773195876
8/13/2017 12:00:00 AM,Ben and Jerry’s,Alabama,Marketing,Spend Amount $,19,2094.767527732
8/13/2017 12:00:00 AM,Ben and Jerry’s,Alabama,People Expenses,Spend Amount $,20,7246.383962759
8/13/2017 12:00:00 AM,Ben and Jerry’s,Alabama,Wages,Spend Amount $,21,21881.841810980
8/13/2017 12:00:00 AM,EDP,Texas,Licenses,Spend Amount $,22,1915.603448276
8/13/2017 12:00:00 AM,Ethyl Corporation,Texas,Buy- Products,Spend Amount $,23,151.795834584
8/13/2017 12:00:00 AM,Gate,Texas,Outsourcing,Spend Amount $,24,1080.436042448
8/13/2017 12:00:00 AM,Hetrick Systems,Kansas,Buy- Products,Spend Amount $,25,56.283154537
8/13/2017 12:00:00 AM,Hetrick Systems,Kansas,Gas,Spend Amount $,26,17.478529880
8/13/2017 12:00:00 AM,Hetrick Systems,Kansas,Wages,Spend Amount $,27,55.491903443
8/13/2017 12:00:00 AM,Homebound,Texas,Buy- Products,Spend Amount $,28,2528.703341012
8/13/2017 12:00:00 AM,Homebound,Texas,Gas,Spend Amount $,29,81.528647238
8/13/2017 12:00:00 AM,Homebound,Texas,People Expenses,Spend Amount $,30,228.838617999
8/13/2017 12:00:00 AM,Homebound,Texas,Travel,Spend Amount $,31,70.836363636
8/13/2017 12:00:00 AM,Homebound,Texas,Wages,Spend Amount $,32,686.421846489
8/13/2017 12:00:00 AM,Icon,Texas,People Expenses,Spend Amount $,33,9.672823548
8/13/2017 12:00:00 AM,J. S. Lee Associates,New York,Consulting,Spend Amount $,34,52.232045642
8/13/2017 12:00:00 AM,J. S. Lee Associates,New York,Raw Material,Spend Amount $,35,123.660949703
8/13/2017 12:00:00 AM,J. S. Lee Associates,New York,Wages,Spend Amount $,36,286.291374692
8/13/2017 12:00:00 AM,Ra Co Amo,New York,Gas,Spend Amount $,37,83.644734184
8/13/2017 12:00:00 AM,Ra Co Amo,New York,Licenses,Spend Amount $,38,236.357971921
8/13/2017 12:00:00 AM,Ra Co Amo,New York,Marketing,Spend Amount $,39,12.920890411
8/13/2017 12:00:00 AM,Ra Co Amo,New York,Wages,Spend Amount $,40,25.823958333
8/13/2017 12:00:00 AM,Satyam,Minnesota,Raw Material,Spend Amount $,41,19207.714771043
8/13/2017 12:00:00 AM,Talou,Texas,Administration,Spend Amount $,42,3886.236956503
8/13/2017 12:00:00 AM,ValiCert,New York,Outsourcing,Spend Amount $,43,14.256899811
8/13/2017 12:00:00 AM,ValiCert,New York,People Expenses,Spend Amount $,44,14.151412831
8/13/2017 12:00:00 AM,Valpatken,New York,Marketing,Spend Amount $,45,5566.772106147
8/13/2017 12:00:00 AM,Xilinx,Texas,Buy- Products,Spend Amount $,46,290.488708328
8/13/2017 12:00:00 AM,Xilinx,Texas,Consulting,Spend Amount $,47,383.773195876
8/14/2017 12:00:00 AM,Deak-Perera Group.,Texas,Buy- Products,Spend Amount $,48,143.660013771
8/14/2017 12:00:00 AM,Deak-Perera Group.,Texas,Gas,Spend Amount $,49,315.391653360
8/14/2017 12:00:00 AM,Deak-Perera Group.,Texas,Infrastructure,Spend Amount $,50,382.112919604
8/14/2017 12:00:00 AM,Deak-Perera Group.,Texas,Marketing,Spend Amount $,51,72.987236190
8/14/2017 12:00:00 AM,EDP,Texas,People Expenses,Spend Amount $,52,1052.699445361
8/14/2017 12:00:00 AM,Fill It,Texas,Buy- Products,Spend Amount $,53,41.089395761
8/14/2017 12:00:00 AM,Fill It,Texas,Cars,Spend Amount $,54,3885.486486486
8/14/2017 12:00:00 AM,Fill It,Texas,Gas,Spend Amount $,55,1255.153302075
8/14/2017 12:00:00 AM,Fill It,Texas,Infrastructure,Spend Amount $,56,362.018840580
8/14/2017 12:00:00 AM,Fill It,Texas,Licenses,Spend Amount $,57,1255.820854081
8/14/2017 12:00:00 AM,Fill It,Texas,Outsourcing,Spend Amount $,58,2270.538704181
8/14/2017 12:00:00 AM,Fill It,Texas,People Expenses,Spend Amount $,59,309.953931090
8/14/2017 12:00:00 AM,Fill It,Texas,Raw Material,Spend Amount $,60,2331.966383796
8/14/2017 12:00:00 AM,Homebound,Texas,Buy- Products,Spend Amount $,61,1575.442089972
8/14/2017 12:00:00 AM,Homebound,Texas,Marketing,Spend Amount $,62,489.140906192
8/14/2017 12:00:00 AM,J. S. Lee Associates,New York,Administration,Spend Amount $,63,579.491890513
8/14/2017 12:00:00 AM,J. S. Lee Associates,New York,Marketing,Spend Amount $,64,10.861521520
8/14/2017 12:00:00 AM,Pinnacle Micro,Minnesota,Marketing,Spend Amount $,65,312.195674125
8/14/2017 12:00:00 AM,Ra Co Amo,New York,Cars,Spend Amount $,66,0.7125
8/14/2017 12:00:00 AM,Ra Co Amo,New York,Gas,Spend Amount $,67,160.009449999
8/14/2017 12:00:00 AM,Ra Co Amo,New York,Licenses,Spend Amount $,68,52.832999070
8/14/2017 12:00:00 AM,Ra Co Amo,New York,People Expenses,Spend Amount $,69,70.834969129
8/14/2017 12:00:00 AM,Renegade info Crew,Montana,Buy- Products,Spend Amount $,70,1201.655696509
8/14/2017 12:00:00 AM,Robust Code,New York,Raw Material,Spend Amount $,71,337.480918234
8/14/2017 12:00:00 AM,Tredegar Company,New York,Raw Material,Spend Amount $,72,1522.452402257
8/14/2017 12:00:00 AM,Xilinx,Texas,Buy- Products,Spend Amount $,73,290.488708328
8/14/2017 12:00:00 AM,XVT,New York,Raw Material,Spend Amount $,74,30730.287967369
8/15/2017 12:00:00 AM,A2Z Solutions,Alabama,Cars,Spend Amount $,75,24.225
8/15/2017 12:00:00 AM,A2Z Solutions,Alabama,Infrastructure,Spend Amount $,76,4935.025701589
8/15/2017 12:00:00 AM,Ben and Jerry’s,Alabama,People Expenses,Spend Amount $,77,12029.505508073
8/15/2017 12:00:00 AM,Ben and Jerry’s,Alabama,Wages,Spend Amount $,78,2806.947567048
8/15/2017 12:00:00 AM,Fill It,Texas,Electricity,Spend Amount $,79,373.630813449
8/15/2017 12:00:00 AM,Fill It,Texas,Gas,Spend Amount $,80,822.523543482
8/15/2017 12:00:00 AM,Homebound,Texas,Administration,Spend Amount $,81,59.357840881
8/15/2017 12:00:00 AM,Homebound,Texas,Buy- Products,Spend Amount $,82,132.262101820
8/15/2017 12:00:00 AM,Homebound,Texas,Consulting,Spend Amount $,83,170.235980392
8/15/2017 12:00:00 AM,Homebound,Texas,Licenses,Spend Amount $,84,127.761655533
8/15/2017 12:00:00 AM,Homebound,Texas,Logistics,Spend Amount $,85,132.651666667
8/15/2017 12:00:00 AM,Homebound,Texas,Marketing,Spend Amount $,86,482.387361597
8/15/2017 12:00:00 AM,Homebound,Texas,People Expenses,Spend Amount $,87,762.916486146
8/15/2017 12:00:00 AM,Homebound,Texas,Raw Material,Spend Amount $,88,966.071779992
